lang|text|created_at
en|hillary https://t.co/onCSNfwZ4f|Tue Nov 08 23:10:32 +0000 2016
en|"@beardnscars Yes, let's look at how @realDonaldTrump lives, surrounded by ""Yes"" men, insecure &amp; angry, lashing out at anyone who wronged him"|Tue Nov 08 23:10:32 +0000 2016
en|RT @alaskantexanQCT: Shock/Worry on the Hillary supporting poll worker's face when we rolled up in two vans FULL of Black Trump supporte… |Tue Nov 08 23:10:32 +0000 2016
en|RT @BurtTalksSports: So Tom Brady allegedly voted for Trump and Doug Flutie voted for Hillary. If your view changes on either Boston sports…|Tue Nov 08 23:10:32 +0000 2016
en|RT @mitchellvii: If true, this is brutal for Hillary.  She won't match Obama's numbers. https://t.co/z0o069Bv1p|Tue Nov 08 23:10:32 +0000 2016
en|@realDonaldTrump You see that buddy?! Yeah! #godonaldgo|Tue Nov 08 23:10:32 +0000 2016
en|Don't really post about my political opinion, but it literally racks my brain knowing people are voting for Hillary. 🤔|Tue Nov 08 23:10:32 +0000 2016
en|RT @Wolfe321: Via the German press. #Trump #ElectionDay  #ElectionNight https://t.co/D7Y7skRz2i|Tue Nov 08 23:10:32 +0000 2016
en|RT @twinkgallavich: if Hillary wins I'll PayPal everyone $100 that RTs this.|Tue Nov 08 23:10:32 +0000 2016
en|"RT @HeHasntTweeted2: Judge to Trump is not only a huge victory

It blocks further BS

You don't see Hillary trying to get votes suppressed…"|Tue Nov 08 23:10:32 +0000 2016
en|RT @StopTrumpIn16: You know you've run a shit campaign when you can't trust your own wife to vote for you. #DumbDonald @realDonaldTrump htt…|Tue Nov 08 23:10:32 +0000 2016
en|RT @rooshv: BEWARE: Fox News and CNN may fraudulently call Florida for Hillary  https://t.co/iVzHH5yRrx|Tue Nov 08 23:10:32 +0000 2016
en|RT @FoxNews: Fox News #ExitPoll: Better to handle the economy - @realDonaldTrump leads @HillaryClinton 48% to 46%.… |Tue Nov 08 23:10:32 +0000 2016
en|RT @TeamTrump: Today is the day EVERYTHING CHANGES. We will show America the silent majority is no longer silent! Get out and… |Tue Nov 08 23:10:32 +0000 2016
en|RT @ReturnofRV: Now #WTFAmericaIn5Words is trending. Are the Hillary people really that worried?|Tue Nov 08 23:10:32 +0000 2016
en|RT @sherrylion3309: Well, you heard it from her! https://t.co/tpBpQNuGX9|Tue Nov 08 23:10:32 +0000 2016
en|"RT @JuiceTha56: Will Hillary make pants suits mandatory? 

Will Trump build a wall on Mexicos border? 

Find out tomorrow on the season fin…"|Tue Nov 08 23:10:32 +0000 2016
en|@realDonaldTrump winning the white vote by 1%. Embarrassed to be white. We’re not all racist, misogynist, braggadocio, non-pigmented idiots|Tue Nov 08 23:10:32 +0000 2016
en|goodnight world, goodnight evak and let hillary be the next president thanks|Tue Nov 08 23:10:32 +0000 2016
en|@HillaryClinton you got this. You make us proud.|Tue Nov 08 23:10:32 +0000 2016
en|"RT @tbhtumbIr: Now you can finally wipe your ass with Hillary Clinton 😂

S/O https://t.co/KKMD6AfPAU for the free shipping 🎉🎊

Lim… "|Tue Nov 08 23:10:32 +0000 2016
en|"RT @bocavista2016: 28K at #Trump's rally last night

He WINS their ""Midnight Voting"" 32-25

#NewHampshire will #MakeAmericaGreatAgain 

htt…"|Tue Nov 08 23:10:33 +0000 2016
en|Neither lol  https://t.co/hZXvEfEwU5|Tue Nov 08 23:10:32 +0000 2016
